Grid search: 1 combinations x 10 sims each
  n_sigma:  [2.0]
  lambda2:  [1.5]
  Base:     output/experiment2
  Output:   output/grid6_*/
============================================================

============================================================
[1/1] n_sigma=2.0, lambda2=1.5
  Output: output/grid6_ns2.0_l21.5
============================================================
[INFO] Using device: mps
[INFO] Data shape: (2000, 95)
[INFO] RL train stocks: [60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]
[INFO] RL val stocks:   [80, 81, 82, 83, 84]
[INFO] Loaded transformer predictions from output/grid6_ns2.0_l21.5/checkpoints
[INFO] Normalization: mean=0.0000, std=0.0002
[INFO] Auto-loaded R²=0.5583 from transformer metrics
[INFO] Policy parameters: 4,677
[INFO] Env params: half_spread=0.0005, target_vol=0.02, R²=0.5583214163780212, n_sigma=2.0, tau=20, lambda2=1.5

 Iter    MeanRew    PolLoss      VLoss    Entropy         KL    EntCoef     LogStd     RewStd     Time
  198    -0.0000    -0.0005     0.0002     0.3406     0.0035     0.0000    -1.2492       0.19     2.8s
  199    -0.0000    -0.0004     0.0005     0.3265     0.0030     0.0000    -1.2608       0.19     3.0s

[INFO] Training complete in 503.9s
[INFO] Best mean reward: 0.0000
[INFO] Saved to output/grid6_ns2.0_l21.5/checkpoints_rl/
[INFO] Experiment: output/grid6_ns2.0_l21.5
[INFO] Simulation seed: 1042
[INFO] Generated 2000 timesteps, SNR=1.00
[INFO] Transformer predictions generated
[INFO] Loaded policy from output/grid6_ns2.0_l21.5/checkpoints_rl/best_policy.pt
[INFO] Loaded obs normalizer from output/grid6_ns2.0_l21.5/checkpoints_rl/best_normalizer.npz

[INFO] Simulation complete:
  Steps:      1999
  Fills:      381B / 379S
  Total PnL:  -0.9989
  Total Rew:  -908361.9220
  Avg |Pos|:  0.87

Saved: output/grid6_ns2.0_l21.5/checkpoints_rl/sim_results_1042.json
  sim 1/10: seed=1042  PnL=-0.9989  Fills=760  Avg|Pos|=0.87
[INFO] Experiment: output/grid6_ns2.0_l21.5
[INFO] Simulation seed: 1043
[INFO] Generated 2000 timesteps, SNR=1.00
[INFO] Transformer predictions generated
[INFO] Loaded policy from output/grid6_ns2.0_l21.5/checkpoints_rl/best_policy.pt
[INFO] Loaded obs normalizer from output/grid6_ns2.0_l21.5/checkpoints_rl/best_normalizer.npz

[INFO] Simulation complete:
  Steps:      1999
  Fills:      54B / 53S
  Total PnL:  -0.1632
  Total Rew:  -106248.3694
  Avg |Pos|:  0.20

Saved: output/grid6_ns2.0_l21.5/checkpoints_rl/sim_results_1043.json
  sim 2/10: seed=1043  PnL=-0.1632  Fills=107  Avg|Pos|=0.20
[INFO] Experiment: output/grid6_ns2.0_l21.5
[INFO] Simulation seed: 1044
[INFO] Generated 2000 timesteps, SNR=1.00
[INFO] Transformer predictions generated
[INFO] Loaded policy from output/grid6_ns2.0_l21.5/checkpoints_rl/best_policy.pt
[INFO] Loaded obs normalizer from output/grid6_ns2.0_l21.5/checkpoints_rl/best_normalizer.npz

[INFO] Simulation complete:
  Steps:      1999
  Fills:      94B / 94S
  Total PnL:  -0.2833
  Total Rew:  -271671.7540
  Avg |Pos|:  0.32

Saved: output/grid6_ns2.0_l21.5/checkpoints_rl/sim_results_1044.json
  sim 3/10: seed=1044  PnL=-0.2833  Fills=188  Avg|Pos|=0.32
